PCON11CD,ConstituencyName,Winner17,Winner19,BRX,BRX_pct,CHUK,CHUK_pct,CON,CON_pct,GRN,GRN_pct,LAB,LAB_pct,LD,LD_pct,Other,Other_pct,PC,PC_pct,SNP,SNP_pct,UKIP,UKIP_pct,TotalVotes,Notes
E14000530,Aldershot,Conservative,Brexit Party,9432,0.3797254318,950,0.03824630621,2750,0.1107129917,2801,0.1127662144,2458,0.09895728491,5382,0.2166753895,244,0.009823261806,0,0,0,0,822,0.03309311969,24839,
E14000531,Aldridge-Brownhills,Conservative,Brexit Party,9426,0.509073234,583,0.03148628213,2448,0.1322099806,1068,0.05767984446,1617,0.08732987686,2060,0.1112551307,0,0,0,0,0,0,1314,0.07096565133,18516,
E14000532,Altrincham and Sale West,Conservative,Liberal Democrat,6587,0.2161089239,1073,0.03520341207,3136,0.1028871391,5502,0.180511811,3624,0.1188976378,9297,0.305019685,564,0.01850393701,0,0,0,0,696,0.02283464567,30480,
E14000533,Amber Valley,Conservative,Brexit Party,10425,0.4454747457,670,0.02863003162,2487,0.1062729681,2222,0.09494914965,3482,0.1487907016,2415,0.103196308,209,0.00893086061,0,0,0,0,1492,0.0637552346,23402,
E14000534,Arundel and South Downs,Conservative,Brexit Party,12274,0.3577174166,1537,0.04479482397,3431,0.09999417114,4735,0.1379983679,842,0.0245395197,10625,0.3096584285,233,0.006790627186,0,0,0,0,635,0.01850664491,34312,
E14000535,Ashfield,Labour,Brexit Party,12157,0.4989534168,1080,0.04432587728,1530,0.06279499282,1609,0.06603734866,3209,0.131705315,2223,0.09123743074,664,0.02725220603,0,0,0,0,1892,0.0776523702,24365,
E14000536,Ashford,Conservative,Brexit Party,14959,0.4574757638,1320,0.04036820698,3255,0.09954432857,3958,0.121043457,2101,0.06425272944,6068,0.1855714242,228,0.006972690296,0,0,0,0,810,0.02477139974,32699,
E14000537,Ashton-under-Lyne,Labour,Brexit Party,7011,0.3588575523,432,0.02211189026,1090,0.05579157496,1885,0.09648359523,5429,0.2778829912,1634,0.08363617751,980,0.05016123253,0,0,0,0,1075,0.05502380099,19537,
E14000538,Aylesbury,Conservative,Brexit Party,10933,0.3344959462,1575,0.04818724185,3401,0.1040538473,4643,0.1420529295,3260,0.09973994187,7838,0.2398041915,290,0.008872571516,0,0,0,0,744,0.0227627352,32685,
E14000539,Banbury,Conservative,Brexit Party,11410,0.3334307423,1580,0.04617182934,3635,0.1062244302,4675,0.136616014,2789,0.08150204559,9017,0.2635008767,289,0.008445353594,0,0,0,0,824,0.02407948568,34220,
E14000540,Barking,Labour,Labour,6338,0.2583774969,604,0.02462291072,1125,0.04586220954,1305,0.05320016307,10915,0.4449653486,2089,0.08516102731,1015,0.04137790461,0,0,0,0,1139,0.04643293926,24530,
E14000541,Barnsley Central,Labour,Brexit Party,8390,0.4667074595,425,0.02364131946,652,0.03626856539,1502,0.08355120432,3191,0.1775045892,1554,0.08644378929,1227,0.06825387996,0,0,0,0,1036,0.05762919286,17977,
E14000542,Barnsley East,Labour,Brexit Party,9212,0.4923044036,410,0.02191107311,669,0.03575245832,1381,0.07380290723,3085,0.1648674647,1347,0.07198589141,1391,0.07433732364,0,0,0,0,1216,0.06498503634,18712,
E14000543,Barrow and Furness,Labour,Brexit Party,7647,0.3831162325,473,0.02369739479,1935,0.09694388778,1940,0.09719438878,2818,0.1411823647,3583,0.179509018,702,0.03517034068,0,0,0,0,862,0.04318637275,19960,
E14000544,Basildon and Billericay,Conservative,Brexit Party,10422,0.4917893545,680,0.03208758022,2104,0.09928274821,1733,0.08177614194,1782,0.08408833522,3282,0.1548697622,181,0.008540958852,0,0,0,0,1007,0.04751793129,21192,
E14000545,Basingstoke,Conservative,Brexit Party,10593,0.3676720697,1275,0.04425393079,3549,0.1231821179,3311,0.1149213842,2673,0.09277706432,6282,0.2180417202,361,0.01252993648,0,0,0,0,767,0.0266217764,28811,
E14000546,Bassetlaw,Labour,Brexit Party,11888,0.4738520408,686,0.02734375,2060,0.08211096939,1819,0.07250478316,3749,0.1494339923,2827,0.1126833546,219,0.008729272959,0,0,0,0,1842,0.07342155612,25088,
E14000547,Bath,Lib Dem,Liberal Democrat,6240,0.1865861316,919,0.02747959214,1650,0.04933767904,8732,0.2611009778,1849,0.05528810214,13100,0.3917112699,318,0.009508716323,0,0,0,0,636,0.01901743265,33443,
E14000548,Batley and Spen,Labour,Brexit Party,9321,0.3591077208,457,0.01760671906,1600,0.06164278009,1994,0.07682231469,7908,0.3046694406,2520,0.09708737864,1046,0.04029896748,0,0,0,0,1111,0.04280320542,25956,
